Dataset_ID	ScanNumber	PrecursorScan	ParentMZ	ChargeState	IsoWidth	Interference	PreIntensity	IonCollectionTime
354716	11	9	462.15	1	2.5	0.8951	6924.88	1000
354716	65	64	391.29	1	2.5	0.9312	9616.17	1000
354716	66	64	324.99	1	2.5	0.9135	6480.44	1000
354716	69	64	413.27	1	2.5	0.8669	3704.53	1000
354716	76	75	341.02	1	2.5	0.8449	8381.28	1000
354716	78	75	359.03	1	2.5	0.1828	2935	1000
354716	85	75	503.11	1	2.5	0.4982	2138.19	1000
354716	120	119	429.09	1	2.5	0.8056	15363.52	1000
354716	121	119	391.29	1	2.5	0.9581	11876.69	1000
354716	122	119	519.14	1	2.5	0.7706	4923.33	1000
354716	131	130	413.27	1	2.5	0.5583	3728.87	1000
354716	154	152	536.17	1	2.5	0.6646	4817.85	1000
354716	175	174	391.29	1	2.5	1	10314.91	1000
354716	176	174	324.99	1	2.5	1	2830.03	1000
354716	198	196	413.27	1	2.5	0.7141	3213.54	1000
354716	219	218	462.15	1	2.5	0.6212	2767.65	1000
354716	231	229	391.29	1	2.5	0.9034	5101.65	1000
354716	232	229	324.99	1	2.5	0.7428	2182.38	1000
354716	252	251	610.19	1	2.5	0.3602	1559.91	1000
354716	253	251	413.27	1	2.5	0.8116	1576.25	1000
354716	254	251	459.81	1	2.5	0.7276	2289.93	1000
354716	263	262	536.17	1	2.5	0.6918	3653.53	1000
354716	264	262	519.14	1	2.5	0.6165	4345.55	1000
354716	274	273	1069.89	2	2.5	0.6948	9739.02	1000
354716	278	273	1060.86	2	2.5	0.6823	4110.54	1000
354716	286	284	1219.43	2	2.5	0.591	9961.07	1000
354716	287	284	1119.39	2	2.5	0.7736	6199.21	1000
354716	307	306	373.1	2	2.5	0.411	32360.8	773.66
354716	314	306	377.79	2	2.5	0.564	4379.6	1000
354716	315	306	406.32	2	2.5	0.5124	3458.24	1000
354716	316	306	375.9	3	2.5	0.6962	2089.19	1000
354716	318	317	558.42	2	2.5	0.7818	994839.25	13.08
354716	319	317	372.28	3	2.5	0.9616	593406.63	3.51
354716	320	317	569.41	2	2.5	0.9767	425947.91	44.2
354716	321	317	1224.39	7	2.5	0.9737	348613.91	26.21
354716	322	317	450.37	1	2.5	0.4904	153627.09	85.13
354716	323	317	300.22	3	2.5	0.9598	164078.72	139.33
354716	324	317	580.4	2	2.5	1	123047.73	162.21
354716	325	317	586.93	2	2.5	1	94081.55	182.76
354716	326	317	486.37	2	2.5	0.879	99643.51	106.87
354716	327	317	485.36	2	2.5	0.943	89023.44	105.64
354716	330	328	463.3	1	2.5	0.8998	102464.82	262.04
354716	333	328	665.52	1	2.5	0.9397	60306.42	601.45
354716	335	328	434.83	2	2.5	0.3863	41486.7	270.73
354716	336	328	608.46	1	2.5	0.5375	42711.71	523.97
354716	337	328	325.25	3	2.5	0.6023	43707.32	124.85
354716	340	339	456.32	2	2.5	0.8986	106091.29	164.47
354716	341	339	449.33	2	2.5	0.5719	64879.75	190.63
354716	342	339	419.98	4	2.5	0.8253	9665.45	254.54
354716	343	339	518.38	1	2.5	0.7334	24542.46	1000
354716	344	339	383.26	2	2.5	0.6614	23351.71	454.37
354716	347	339	333.56	3	2.5	0.7496	14300.46	1000
354716	348	339	532.37	1	2.5	0.8907	19423.97	1000
354716	351	350	328.22	3	2.5	0.9049	131341.66	60.42
354716	352	350	433.34	1	2.5	0.767	31487.6	806.19
354716	353	350	321.22	2	2.5	0.4687	18783.79	92.89
354716	354	350	307.54	3	2.5	0.5655	31777.06	451.24
354716	355	350	320.22	2	2.5	0.4343	33038.36	422.98
354716	356	350	306.87	3	2.5	0.5349	26467.37	450.87
354716	357	350	491.83	2	2.5	0.9423	11357.67	1000
354716	358	350	410.3	1	2.5	0.3844	15034.68	853.48
354716	362	361	427.62	3	2.5	0.7213	42660.38	190.37
354716	363	361	405.26	3	2.5	0.0496	4520.15	95.93
354716	364	361	304.54	3	2.5	0.5303	27512.95	318.59
354716	365	361	507.43	1	2.5	0.8764	15233.62	1000
354716	367	361	344.73	2	2.5	0.543	18485.94	1000
354716	370	361	480.31	2	2.5	0.3085	4495.82	1000
354716	371	361	455.25	3	2.5	0.4782	4184.25	1000
354716	373	372	331.56	3	2.5	0.1389	13502.12	193.27
354716	374	372	313.2	4	2.5	0.9144	14380.45	343.58
354716	376	372	388.75	4	2.5	0.7685	15882.11	348.14
354716	377	372	417.27	3	2.5	0.8289	24811.25	464.49
354716	378	372	398.21	4	2.5	0.798	13979.89	327.86
354716	380	372	443.78	2	2.5	0.7692	11395.94	896.3
354716	382	372	530.61	3	2.5	0.7166	15601.01	681.21
354716	384	383	496.83	2	2.5	0.827	168502.52	139.94
